"set_num","name","year","num_parts","theme"
"1236-2","Garage",1955,59,"Classic"
"1240-2","8 Road Signs",1955,8,"Classic"
"1241-2","8 Road Signs",1955,8,"Classic"
"1242-2","International Flags",1957,5,"Classic"
"1242D-1","5 Danish Flags",1957,5,"Classic"
"1245-2","Lighting Device Pack",1957,3,"Classic"
"1247-2","Esso Pumps/Sign",1955,2,"Classic"
"1248-2","Painted Trees and Bushes",1955,6,"Classic"
"1249-1","Tri-motorbike",1999,17,"City"
"125-2","Building Set",1974,234,"Universal Building Set"
"1260-2","1:87 Twenty Four Models",1957,24,"Classic"
"1270-2","Trial Size Bag - Chromika",2005,16,"Creator"
"1271-2","Traffic Police Set",1956,6,"Classic"
"1290-1","Kabaya Promotional Set: Red (Volcano Climber) RoboRider",2000,35,"Technic"
"1291-1","Power Bike",2000,32,"Technic"
"1292-1","Kabaya Promotional Set: White (Ice Explorer) RoboRider",2000,33,"Technic"
"1293-1","Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider",2000,25,"Technic"
"1300-1","Lego Mosaik Set (Small)",1955,47,"Classic"
"1306-1","VW Garage",1957,45,"Classic"
"1307-1","VW Auto Showroom",1957,51,"Classic"
"1308-1","Fire Station",1957,109,"Classic"
"1309-1","Church",1957,150,"Classic"
"1310-1","ESSO Filling Station",1956,96,"Classic"
"1314-1","Stop bush / Small pulley",1987,210,"Technic"
"1315-1","Piston Rod",1987,50,"Technic"
"1316-1","Connector peg",1987,150,"Technic"
"1317-1","TECHNIC Chainlinks",1987,350,"Technic"
"1318-1","Gears Small",1987,68,"Technic"
"1319-1","Gears Large",1987,22,"Technic"
"1320-1","Differential and Bevel Gears",1987,32,"Technic"
"1321-1","Worm Gear and Racks",1987,22,"Technic"
"1322-1","Pulleys, Tires, and Steering Wheels",1987,32,"Technic"
"1324-1","Rubber Bands and String",1985,101,"Technic"
"1325-1","Assorted Spare Axles",1987,68,"Technic"
"1326-1","Spare Axles, 12L",1987,28,"Technic"
"1336-1","Pole Reverser Switches for Battery Box",1985,2,"Technic"
"1337-1","Connecting Leads",1985,18,"Technic"
"1339-1","TECHNIC parts",1987,20,"Technic"
"1340-1","Weight Bricks",1987,18,"Technic"
"1345-1","Pinions, Connectors, and Axles",1986,52,"Technic"
"1346-1","Touch Sensors",1987,2,"Technic"
"135-1","Building Set",1973,338,"Universal Building Set"
"1388-1","Huki [McDonald's Promo Set #1]",2001,8,"Bionicle"
"1389-1","Onepu [McDonald's Promo Set #2]",2001,8,"Bionicle"
"1390-1","Maku [McDonald's Promo Set #3]",2001,8,"Bionicle"
"1391-1","Jala [McDonald's Promo Set #4]",2001,8,"Bionicle"
"1392-1","Kongu [McDonald's Promo Set #5]",2001,8,"Bionicle"
"1393-1","Matoro [McDonald's Promo Set #6]",2001,8,"Bionicle"
"140-2","Bricks'n Motor Set",1969,96,"Universal Building Set"
"1413-1","Rover",2001,29,"Space"
"1414-1","Double Hover (Kabaya Promotional)",2001,21,"Space"
"1415-1","Jet Scooter",2001,24,"Space"
"1416-1","Worker Robot",2001,30,"Space"
"1417-1","Vakama",2001,28,"Bionicle"
"1417-2","Vakama (bagged)",2003,28,"Bionicle"
"1418-1","Matau",2001,25,"Bionicle"
"1419-1","Nokama (Kabaya Promotional)",2001,27,"Bionicle"
"1420-1","Nuju",2001,29,"Bionicle"
"1431-1","Tahnok Va (Kabaya Promotional)",2002,27,"Bionicle"
"1432-1","Nuhvok Va (Kabaya Promotional)",2002,26,"Bionicle"
"1433-1","Gahlok Va (Kabaya Promotional)",2002,26,"Bionicle"
"1434-1","Lehvak Va (Kabaya Promotional)",2002,25,"Bionicle"
"1441-1","Fikou (Tree-Spider)",2003,13,"Bionicle"
"145-1","Building Set",1974,412,"Universal Building Set"
"1461-1","Turbo Force",1992,31,"Classic Town"
"1462-1","Galactic Scout",1992,23,"Space"
"1467-1","Shell Race Car",1987,46,"Classic Town"
"1468-1","Shell Tanker",1987,39,"Classic Town"
"1469-1","Helicopter",1986,39,"Universal Building Set"
"1470-1","Shell Station",1987,32,"Classic Town"
"1472-1","Holiday Home",1987,359,"Classic Town"
"1474-1","Basic Building Set with Gift Item",1991,69,"Universal Building Set"
"1475-1","Airport Security Squad",1991,128,"Classic Town"
"1477-1","{Red Race Car Number 3}",1991,39,"Classic Town"
"1478-1","Mobile Satellite Up-Link",1991,31,"Space"
"1479-1","2-Pilot Craft",1991,34,"Space"
"1484-1","Weetabix Town House",1987,215,"Classic Town"
"1489-1","Mobile Car Crane",1989,175,"Classic Town"
"1490-1","Town Bank",1988,195,"Classic Town"
"1495-1","Basic Building Set Trial Size",1988,26,"Universal Building Set"
"1496-1","Rally Car",1987,52,"Classic Town"
"1497-1","Rally and Pitcrew Team",1987,124,"Classic Town"
"1498-1","Spy-Bot",1987,63,"Space"
"1499-1","Twin Starfire",1987,89,"Space"
"1507-1","Space Value Pack",1986,2,"Space"
"1509-1","Town Value Pack",1987,2,"Classic Town"
"1510-1","Space Value Pack",1987,2,"Space"
"1512-2","Basic Set with Storage Case",1985,103,"Universal Building Set"
"1513-2","Basic Building Set Gift Item",1989,71,"Universal Building Set"
"1514-1","Basic Building Set Trial Size",1988,46,"Universal Building Set"
"1515-1","Town Value Pack",1989,2,"Classic Town"
"1517-1","Race Car",1989,32,"Classic Town"
"1518-1","Race Car Repair",1989,79,"Classic Town"
"1520-1","Basic Set with Storage Case",1985,215,"Universal Building Set"
"1521-1","Basic Building Set Trial Size",1989,24,"Universal Building Set"
"1522-1","Basic Building Set Trial Size",1989,44,"Universal Building Set"
"1523-1","Basic Set Trial Size",1986,27,"Universal Building Set"
"1524-1","Basic Set Trial Size",1986,38,"Universal Building Set"
"1525-1","Container Lorry",1986,153,"Classic Town"
"1526-1","Space Radar Buggy",1986,105,"Space"
"1528-1","Dragster",1986,29,"Classic Town"
"1546-1","Airplane",1985,31,"Universal Building Set"
"1548-1","Stena Line Ferry",1992,173,"Universal Building Set"
"1552-1","Maersk Line Container Truck",1985,377,"Classic Town"
"1554-1","Silja Line Ferry",1986,175,"Universal Building Set"
"1557-1","Scooter",1986,26,"Space"
"1558-1","Mobile Command Trailer",1986,68,"Space"
"1560-1","Glory Glider",1990,26,"Classic Town"
"1560-3","Crest Basic Building Set",1985,27,"Universal Building Set"
"1561-1","Stunt Chopper",1990,30,"Classic Town"
"1562-1","Wave Jumper",1990,25,"Classic Town"
"1562-2","Basic Building Set",1985,36,"Universal Building Set"
"1563-1","Track Blaster",1990,30,"Classic Town"
"1572-1","Super Tow Truck",1986,79,"Classic Town"
"1575-1","Finnjet Ferry",1977,507,"Universal Building Set"
"1575-2","Basic Set with Board Game",1987,240,"Universal Building Set"
"1577-1","Medium Bucket",1988,217,"Universal Building Set"
"1580-1","Lunar Scout",1986,70,"Space"
"1580-2","Silja Line Ferry",1977,413,"Universal Building Set"
"1581-1","Silja Line Ferry",1981,181,"Universal Building Set"
"1581-2","Delivery Truck",1990,122,"Classic Town"
"1588-1","Basic Set",1987,27,"Universal Building Set"
"1589-1","Town Square",1978,441,"Classic Town"
"1589-2","TCS Breakdown Assistance",1986,258,"Classic Town"
"1590-2","ANWB Breakdown Assistance",1982,262,"Classic Town"
"1591-1","Danone Truck",1980,40,"Classic Town"
"1592-1","Town Square - Castle Scene",1980,495,"Classic Town"
"1592-2","Town Square - Castle Scene (Dutch Version)",1983,495,"Classic Town"
"1593-1","Super Model",1983,314,"Space"
"1598-1","Basic Set",1987,38,"Universal Building Set"
"1599-1","Britannia Airways",1987,102,"Universal Building Set"
"1602-1","Giraffe",1987,16,"Universal Building Set"
"1603-1","Trial Size Imagination",1993,13,"Universal Building Set"
"1604-1","Lion",1987,17,"Universal Building Set"
"1605-1","Snail",1987,14,"Universal Building Set"
"1606-1","Car",1987,23,"Universal Building Set"
"1607-1","Helicopter",1987,26,"Universal Building Set"
"1608-1","{Aeroplane}",1987,24,"Universal Building Set"
"1609-1","Ship",1987,31,"Universal Building Set"
"1610-1","Police Car",1991,23,"Classic Town"
"1611-1","Dune Buggy",1991,21,"Classic Town"
"1612-1","Race Car",1988,30,"Classic Town"
"1613-1","Basic Set in Bucket",1987,375,"Universal Building Set"
"1616-1","Space Combi-Pack",1989,2,"Space"
"1617-1","Small Bucket",1988,155,"Universal Building Set"
"1619-1","Storage Bucket",1986,260,"Universal Building Set"
"1620-1","Astro Dart",1990,30,"Space"
"1620-2","Factory",1978,233,"Classic Town"
"1621-1","Lunar MPV Vehicle",1990,96,"Space"
"1630-1","Helicopter",1990,27,"Classic Town"
"1631-1","Black Racer",1990,23,"Classic Town"
"1632-1","Motor Boat",1990,28,"Classic Town"
"1633-1","Loader Tractor",1990,24,"Classic Town"
"1636-1","Small Bucket",1990,185,"Universal Building Set"
"1637-1","Large Bucket",1990,493,"Universal Building Set"
"1638-1","Blue Bucket",1990,444,"Universal Building Set"
"1639-1","Large Bucket",1990,673,"Universal Building Set"
"1642-1","Lego Motion 3B, Sea Eagle",1989,15,"Universal Building Set"
"1642-2","Lego Motion 3B, Sea Eagle - International version",1994,15,"Universal Building Set"
"1643-1","Lego Motion 2B, Lightning Striker",1989,16,"Universal Building Set"
"1644-1","Lego Motion 4A, Wind Whirler",1989,17,"Universal Building Set"
"1644-2","Lego Motion 4A, Wind Whirler - International version",1994,17,"Universal Building Set"
"1645-1","Lego Motion 1A, Gyro Bird",1989,19,"Universal Building Set"
"1646-1","Lego Motion 3A, Land Laser",1989,17,"Universal Building Set"
"1646-2","Lego Motion 3A, Land Laser - International version",1994,17,"Universal Building Set"
"1647-1","Lego Motion 1B, Turbo Force",1989,14,"Universal Building Set"
"1648-1","Lego Motion 2A, Swamp Stinger",1989,16,"Universal Building Set"
"1649-1","Lego Motion 4B, Sea Skimmer",1989,17,"Universal Building Set"
"1649-2","Lego Motion 4B, Sea Skimmer - International version",1994,17,"Universal Building Set"
"1651-1","Basic Building Set Trial Size",1993,30,"Universal Building Set"
"1651-2","Maersk Line Container Truck",1980,305,"Classic Town"
"1652-1","Basic Set",1994,44,"Universal Building Set"
"1655-1","Viking Line Ferry",1985,175,"Universal Building Set"
"1656-1","Evacuation Team",1991,244,"Classic Town"
"1656-2","Viking Line Ferry",1982,171,"Universal Building Set"
"1658-1","Viking Line Ferry",1982,201,"Universal Building Set"
"1660-1","Kronprins Frederik Ferry",1996,164,"Universal Building Set"
"1661-2","Basic Building Set in Bucket",1989,418,"Universal Building Set"
"1662-1","Basic Building Set in Bucket",1989,630,"Universal Building Set"
"1663-1","Basic Building Set in Bucket",1989,451,"Universal Building Set"
"1665-1","Dual FX Racers",1990,108,"Classic Town"
"1666-1","Brick Vac",1991,140,"Universal Building Set"
"1668-1","Basic Building Set Trial Size",1992,30,"Universal Building Set"
"1670-1","Basic Building Set Trial Size",1992,28,"Universal Building Set"
"1676-1","Basic Building Set",1990,22,"Universal Building Set"
"1678-1","Basic Building Set Trial Size",1991,49,"Universal Building Set"
"1679-1","Basic Building Set",1990,43,"Universal Building Set"
"1682-1","Space Shuttle",1990,419,"Classic Town"
"1687-1","Midnight Transport",1993,271,"Classic Town"
"1688-1","Large Bucket for Her",1993,216,"Universal Building Set"
"1690-1","Helicopter",1990,27,"Classic Town"
"1693-1","Turbo Force",1992,26,"Classic Town"
"1694-1","Galactic Scout",1992,23,"Space"
"1698-1","Basic Building Set Trial Size",1991,26,"Universal Building Set"
"1699-1","Small Bucket",1993,183,"Universal Building Set"
"1-7","Basic Set",1973,107,"Universal Building Set"
"1701-1","Basic Building Set Trial Size",1994,26,"Universal Building Set"
"1702-1","Fire Fighter 4 x 4",1994,59,"Classic Town"
"1703-1","Dalmatian Station Building Set",1994,181,"Universal Building Set"
"1704-1","Ice Planet Satellite Plough",1994,47,"Space"
"1705-1","Large Dinosaur Bucket",1994,327,"Universal Building Set"
"1708-1","Large Bucket",1994,665,"Universal Building Set"
"1710-1","Snowmobile",1994,24,"Classic Town"
"1711-1","Ice Planet Scooter",1994,19,"Space"
"1714-1","Surveillance Scooter",1995,23,"Space"
"1715-1","Special Value",1995,400,"Universal Building Set"
"1716-1","Starter Set with Building Plates",1994,201,"Universal Building Set"
"1720-1","Cactus Canyon Value Pack",1994,3,"Classic Town"
"1721-1","Sandypoint Marina Value Pack",1994,3,"Classic Town"
"1724-1","Bird",1994,9,"Universal Building Set"
"1725-1","Dinosaur",1994,11,"Universal Building Set"
"1726-1","Girl",1994,7,"Universal Building Set"
"1727-1","Horse",1994,10,"Universal Building Set"
"1730-1","Snow Scooter",1994,24,"Classic Town"
"1731-1","Ice Planet Scooter",1994,19,"Space"
"1737-1","Scorpion Detector",1996,195,"Space"
"1740-1","Kayak",1994,16,"Classic Town"
"1741-1","Car",1994,36,"Classic Town"
"1742-1","Van",1994,81,"Classic Town"
"1743-1","Box of Standard Bricks, 5+",1995,400,"Universal Building Set"
"1745-1","Box of Standard Bricks, 3+",1995,404,"Universal Building Set"
"1750-1","Renault Formula 1 Racer",1992,32,"Classic Town"
"1756-1","{Basic Promotional Set}",1995,8,"Universal Building Set"
"1758-1","{Basic Promotional Set}",1995,7,"Universal Building Set"
"1760-1","Go-Cart",1995,21,"Classic Town"
"1762-1","Go-Cart",1995,21,"Classic Town"
"1767-1","{Basic Promotional Set}",1995,6,"Universal Building Set"
"1768-1","{Basic Promotional Set}",1995,9,"Universal Building Set"
"1769-1","Aircraft",1992,23,"Universal Building Set"
"1772-1","Airport Container Truck",1991,79,"Classic Town"
"1773-1","Airline Maintenance Vehicle with Trailer",1996,108,"Classic Town"
"1774-1","Aircraft",1991,139,"Classic Town"
"1775-1","Jet",1994,161,"Classic Town"
"1776-1","Large Bulk Bucket",1996,950,"Universal Building Set"
"1777-1","Sabah Promotional Set: Plane",1997,10,"Universal Building Set"
"1778-1","Sabah Promotional Set: Boat",1997,9,"Universal Building Set"
"1779-1","Sabah Promotional Set: Helicopter",1997,10,"Universal Building Set"
"1785-1","Introducing Crater Critters",1995,146,"Space"
"1786-1","Jailbreak Joe",1995,189,"Classic Town"
"1787-1","Crater Cruiser",1995,183,"Space"
"1789-1","Star Hawk II",1995,292,"Space"
"1790-1","Shark Fisherman",1994,20,"Classic Town"
"1791-1","Windsurfer & Van",1994,70,"Classic Town"
"1792-1","Pleasure Cruiser",1994,65,"Classic Town"
"1793-1","Space Station Zenon",1995,351,"Space"
"1798-1","Building Table",1995,3,"Universal Building Set"
"1808-1","Light Aircraft and Ground Support",1996,121,"Classic Town"
"1809-1","Condor Promotional Airplane",1996,29,"Universal Building Set"
"1817-1","Sea Plane with Hut and Boat",1996,134,"Classic Town"
"1818-1","Aircraft and Ground Support Equipment and Vehicle",1996,203,"Classic Town"
"1819-1","Large Bucket",1995,950,"Universal Building Set"
"1821-1","Rally Racers",1996,195,"Classic Town"
"1823-1","Sabah Promotional Set: Yacht",1997,10,"Universal Building Set"
"1824-1","Flying Duck",1997,17,"Universal Building Set"
"1825-1","Racing Car",1997,19,"Universal Building Set"
"1826-1","Bird? Boat? Plane?",1997,21,"Universal Building Set"
"1827-1","Helicopter",1997,20,"Universal Building Set"
"1828-1","{Basic Promotional Set}",1995,7,"Universal Building Set"
"1831-1","Maersk Line Container Lorry",1995,206,"Classic Town"
"1831-2","Maersk Sealand Container Lorry",1995,206,"Classic Town"
"1841-1","Plane",1999,15,"Universal Building Set"
"1843-1","Space/Castle Value Pack",1996,2,"Technic"
"1843-2","Spyrius Fold-Wing Spacecraft",1996,60,"Space"
"1845-1","20th Anniversary Jackpot Bucket",1993,717,"Universal Building Set"
"1854-1","House with Roof-Windows ( Velux )",1996,152,"Classic Town"
"1857-1","Basic Bricks",1996,950,"Universal Building Set"
"1858-1","Droid Scout",1996,23,"Space"
"1859-1","Sabah Promotional Set: Aeroplane",1997,9,"Universal Building Set"
"1865-1","Airliner",1994,28,"Universal Building Set"
"1867-1","Medium Bulk Bucket",1997,400,"Universal Building Set"
"1869-1","South African Flag",1996,80,"Universal Building Set"
"1874-1","Polly Pick-Up",1993,141,"Universal Building Set"
"1875-1","Meteor Monitor",1990,32,"Space"
"1876-1","Soil Scooper",1990,73,"Classic Town"
"1878-1","Small Bucket",1991,406,"Universal Building Set"
"1879-1","Large Bucket",1992,441,"Universal Building Set"
"1880-1","XL Bucket",1992,576,"Universal Building Set"
"1881-1","Small Bucket",1991,288,"Universal Building Set"
"1882-1","Large Bucket",1991,451,"Universal Building Set"
"1884-1","Small Bucket",1992,193,"Universal Building Set"
"1885-1","XL Bucket",1992,465,"Universal Building Set"
"1887-1","Scout Patrol Ship",1992,30,"Space"
"1890-1","Octan Racer",1992,47,"Classic Town"
"1895-1","Sky Patrol",1992,89,"Classic Town"
"1896-1","Trauma Team",1992,296,"Classic Town"
"1898-1","Weetabix Dragster",1989,27,"Classic Town"
"1899-1","Weetabix Racer",1989,24,"Classic Town"
"1901-2","Mini Basic Set",1984,36,"Universal Building Set"
"1905-1","Mini Basic Set",1982,36,"Universal Building Set"
"1910-1","Promo Basic Set",1982,88,"Universal Building Set"
"1911-1","Basic Set",1983,34,"Universal Building Set"
"1912-1","LEGO Building Set A, Car",1983,20,"Universal Building Set"
"1913-1","LEGO Building Set B, Boat",1983,27,"Universal Building Set"
"1914-1","LEGO Building Set C, Helicopter",1983,20,"Universal Building Set"
"1915-1","LEGO Building Set D, Aircraft",1983,20,"Universal Building Set"
"1916-1","Starion Patrol",1993,23,"Space"
"1920-1","Promo Basic Set",1982,119,"Universal Building Set"
"1922-2","Basic Building Set",1983,60,"Universal Building Set"
"1923-1","Viking Line Ferry",1989,184,"Universal Building Set"
"1924-2","Viking Line Ferry",1992,232,"Universal Building Set"
"1929-1","Guardsman",1988,13,"Universal Building Set"
"1932-1","Basic Building Set + Storage Case",1984,82,"Universal Building Set"
"1944-1","Basic Set with Storage Case",1983,142,"Universal Building Set"
"1952-1","Dairy Tanker",1989,128,"Classic Town"
"1953-1","Mouse",1989,14,"Universal Building Set"
"1954-1","Surveillance Scooter",1995,23,"Space"
"1954-2","Basic Set with Storage Case",1984,141,"Universal Building Set"
"1955-1","Color Line Ferry",1993,244,"Universal Building Set"
"1958-1","Windsurfer",1993,21,"Classic Town"
"1959-1","Ultra-Light",1993,30,"Classic Town"
"1960-2","Special Value 96 pieces (Canadian Set)",1985,104,"Universal Building Set"
"1962-1","Basic Building Set",1985,219,"Universal Building Set"
"1963-1","Basic Set with Storage Case",1986,221,"Universal Building Set"
"1964-1","Basic Building Set",1985,27,"Universal Building Set"
"1965-1","Basic Building Set",1985,38,"Universal Building Set"
"1966-1","Car Repair Shop",1985,300,"Classic Town"
"1967-2","Town Value Pack",1985,3,"Classic Town"
"1968-1","Space Express",1985,183,"Space"
"1969-1","Mini Robot",1993,38,"Space"
"1969-2","Space Value Pack",1985,3,"Space"
"1969-2","Space Value Pack",NA,NA,"Space"
"1973-1","Emirates Airliner",1989,138,"Classic Town"
"1974-2","Flyercracker USA",1989,74,"Classic Town"
"1974-4","Star Quest",1989,37,"Space"
"1977-1","Space Value Pack",1983,3,"Space"
"1983-1","Space Value Pack",1984,3,"Space"
"1990-1","F1 Race Car",1993,35,"Classic Town"
"1991-1","Racing Pickup",1993,81,"Classic Town"
"1992-1","Dragsters",1993,103,"Classic Town"
"1993-1","Race Value Pack",1993,3,"Classic Town"
"1994-1","Turtle Bucket with Motor",1992,192,"Universal Building Set"
"1995-1","Racer",1999,15,"Universal Building Set"
"1998-1","Silja Line Ferry",1991,375,"Universal Building Set"
"1999-1","Space Value Pack",1985,3,"Space"
"20001-1","BrickMaster",2007,103,"Creator"
"20002-1","Fire Truck",2008,56,"City"
"20003-1","Dinosaur",2008,102,"Creator"
